GA_ARTICLE#GA_CODEARTICLE#GA_LIBELLE#GA_CODEBARRE#GA_PVTTC
A3194031469442                   X#A3194031469442#shirt w.embroidered panel#4063055995772#24,99
A3194031469444                   X#A3194031469444#shirt w.embroidered panel#4063055995789#24,99
A3194031469446                   X#A3194031469446#shirt w.embroidered panel#4063055995796#24,99
A3194061469434                   X#A3194061469434#Style summer Ellen#4063055995987#24,99
A3194061469436                   X#A3194061469436#Style summer Ellen#4063055996007#24,99
A3194061469438                   X#A3194061469438#Style summer Ellen#4063055996021#24,99
A3194061469440                   X#A3194061469440#Style summer Ellen#4063055996045#24,99
A3194061469442                   X#A3194061469442#Style summer Ellen#4063055996069#24,99
A3194061469444                   X#A3194061469444#Style summer Ellen#4063055996083#24,99
A3194061469446                   X#A3194061469446#Style summer Ellen#4063055996106#24,99
A3194061471734                   X#A3194061471734#Style summer Ellen#4063055995994#24,99
A3194061471736                   X#A3194061471736#Style summer Ellen#4063055996014#24,99
A3194061471738                   X#A3194061471738#Style summer Ellen#4063055996038#24,99
A3194061471740                   X#A3194061471740#Style summer Ellen#4063055996052#24,99
A3194061471742                   X#A3194061471742#Style summer Ellen#4063055996076#24,99
A3194061471744                   X#A3194061471744#Style summer Ellen#4063055996090#24,99
A3194061471746                   X#A3194061471746#Style summer Ellen#4063055996113#24,99
A3194061471834                   X#A3194061471834#Style summer Ellen#4063055979246#24,99
A3194061471836                   X#A3194061471836#Style summer Ellen#4063055979277#24,99
A3194061471838                   X#A3194061471838#Style summer Ellen#4063055979307#24,99
A3194061471840                   X#A3194061471840#Style summer Ellen#4063055979338#24,99
A3194061471842                   X#A3194061471842#Style summer Ellen#4063055979369#24,99
A3194061471844                   X#A3194061471844#Style summer Ellen#4063055979390#24,99
A3194061471846                   X#A3194061471846#Style summer Ellen#4063055979420#24,99
A3194111472134                   X#A3194111472134#shiny shirt#4063055980099#24,99
